concept_id,domain_category,source,metaphor,mono_leakage,mono_leaked_words,mono_explanation,imaw_leakage,imaw_leaked_words,imaw_explanation,mono_calibrated_leakage,mono_hard_words,mono_soft_words,mono_calibrated_explanation,imaw_calibrated_leakage,imaw_hard_words,imaw_soft_words,imaw_calibrated_explanation
28,law,Constitutional Checks and Balances: The legislature makes laws. The executive en,Three master chefs sharing one kitchen — each controls one station and taste-tests the others' dishes,YES,overruled; check,"The word 'overruled' is specific legal/governmental jargon from the source domain, often associated with judicial decisions. The word 'check' (as in 'held in check') is also a direct leak from the name of the source concept, 'Checks and Balances'. While these are common English words, their usage in this context is a direct pull from the technical vocabulary of political science rather than a full translation into the kitchen metaphor.",YES,override; overridden,"The term 'override' is specific technical vocabulary from the source domain of constitutional checks and balances, referring to the legislature's power to overcome a veto. It was used directly in the metaphor instead of a more domain-appropriate equivalent.",SOFT,,overruled; check,"Neither term meets the strict criteria for HARD leakage. 'Check' is a generic English word that is perfectly natural in the target kitchen metaphor (e.g., to 'check' a dish for seasoning, or one chef's power being 'held in check'). Its overlap with the source concept's name ('Checks and Balances') is a structural parallel using common vocabulary, which is classified as SOFT. 'Overruled' is more closely associated with the source domain of law and government, but it is not unambiguous technical jargon like 'Cas9'. It has general English usage and thus qualifies as SOFT resemblance, even if it's a less-than-ideal metaphorical translation.",SOFT,,override; overridden,"The term 'override' is a general English verb meaning 'to use one's authority to reject or cancel a decision.' While it has a specific, well-known application in the source domain (legislative veto override), it is not exclusive technical jargon. The concept of a senior chef overriding a junior chef's decision is perfectly natural within the kitchen metaphor. Therefore, its use is a valid structural parallel using common vocabulary, which constitutes SOFT resemblance, not HARD leakage."
29,chemistry,"Catalysis (Enzyme Kinetics): An enzyme binds a substrate at its active site, for",A master tailor's workshop where a fitting mannequin shapes fabric into garments,YES,occupied; plateau,"The term 'plateau' is used to describe the workshop's rate hitting a maximum, which is a specific term ('plateaus') from the source domain of enzyme kinetics. The term 'occupied' is also used repeatedly to describe the state of the mannequin, directly mirroring the source's technical phrase 'all active sites occupied'.",YES,catalyst,The term 'catalyst' is used directly in the concluding paragraph. This word is explicit technical vocabulary from the source domain of 'Catalysis (Enzyme Kinetics)' and should have been replaced with a term native to the tailor workshop metaphor.,SOFT,,occupied; plateau,"The words 'occupied' and 'plateau' are common English terms, not specific technical jargon from enzyme kinetics. It is perfectly natural to describe a tailor's mannequin as 'occupied' when in use, or for the workshop's production rate to 'plateau' when at maximum capacity. These words represent a successful structural mapping of the source concept (saturation) using vocabulary appropriate to the target domain, which qualifies as Soft Resemblance, not Hard Leakage.",HARD,catalyst,,"The term 'catalyst' is the central technical term from the source domain. Its appearance verbatim in the target metaphor is a definitive example of hard leakage. The goal is to explain the concept of a catalyst using the metaphor of a tailor's workshop, not to use the word itself within the metaphor. It is not a generic English word in this context; it is the specific scientific subject being explained."
30,chemistry,Electrochemistry (Galvanic Cell): Two half-cells contain different metals in ele,Two connected hot springs where minerals flow downhill from one pool to another through a channel,NO,,No source-domain vocabulary detected.,NO,,No source-domain vocabulary detected.,NONE,,,Original: NO leakage,NONE,,,Original: NO leakage
31,chemistry,Polymer Chain Reaction (PCR): A DNA template is heated to separate strands (dena,A printing press that photocopies a single page — each copy is copied again in the next round,YES,cycle,"The word 'cycle' is a key technical term from the source domain (PCR) describing one full round of denaturation, annealing, and extension. The metaphor adopts this exact term ('first cycle', 'second cycle', 'With every cycle') instead of using a term native to its own domain, such as 'round', 'pass', or 'trip through the workshop'.",YES,synthesizes; cycle; cyclical,"The term 'synthesizes' is a direct leak from the source domain's description ('synthesizing new strands') and is not vocabulary typically used to describe photocopying. The terms 'cycle' and 'cyclical' are also used repeatedly to describe the process, directly mirroring the 'cycle' terminology from the PCR source, where a more native term for the metaphor domain, like 'round' or 'run', would be expected.",SOFT,,cycle,"The word 'cycle' is a generic English term describing a repeating series of events. It is not specific technical jargon exclusive to PCR. It applies naturally to the target metaphor of a printing press or photocopier repeating its copying process. The instructions explicitly classify 'cycle' as SOFT resemblance because it is common vocabulary, not a source-domain technical term like 'anneal' or 'polymerase'.",SOFT,,synthesizes; cycle; cyclical,"All flagged words are reclassified as SOFT resemblance. The words 'cycle' and 'cyclical' are explicitly listed as examples of SOFT words in the rubric, as they are generic English terms for a repeating process applicable to both domains. The word 'synthesizes', while an unnatural choice for the target domain (photocopying) and clearly influenced by the source, is a general English verb. It does not meet the rubric's standard for HARD leakage, which requires a 'specific source-domain technical term' (e.g., 'polymerase', 'anneal', 'denaturation') that is unambiguous jargon."
32,chemistry,Ceramics in Modern Architecture: Traditional ceramic cladding acts as passive we,The lifecycle of a star evolving from a main-sequence star into a planetary nebula,NO,,"No source-domain vocabulary detected. The output successfully translates the technical concepts from architecture (e.g., 'photocatalytic surfaces', 'thermal-regulating', 'passive weatherproofing') into metaphorical language appropriate for the target domain of astronomy (e.g., 'alchemist shell', 'breathing lung', 'unwavering shield') without using the original jargon.",YES,catalytic,"The word 'catalytic' is a direct leak from the source domain's technical term 'photocatalytic'. The metaphor should have used a term native to the target domain (e.g., 'triggering', 'igniting') to describe the function of the Helium Shell Flash, rather than borrowing a specific chemical process descriptor from the source.",NONE,,,Original: NO leakage,SOFT,,catalytic,"The term 'catalytic' is not a HARD leak. While it is derived from the source term 'photocatalytic', it is also a legitimate scientific term within the target domain of astrophysics. The CNO (Carbon-Nitrogen-Oxygen) cycle, a process of stellar nucleosynthesis, is a catalytic cycle. Because the word has a valid, non-metaphorical meaning in the target domain, its appearance does not constitute a vocabulary contamination from a foreign domain; it is a soft resemblance."
33,chemistry,Distillation: A liquid mixture is heated in a flask. Components with lower boili,"A mountain range where clouds form at different altitudes, each carrying a single type of rain",NO,,No source-domain vocabulary detected.,YES,Azeotropic; azeotrope,The specific chemical term 'Azeotropic' (derived from 'azeotrope' in the source) is used directly in the metaphorical explanation ('Azeotropic Fog'). This is highly specific jargon from the source domain of distillation and is not a term native to the target domain of meteorology or geography.,NONE,,,Original: NO leakage,HARD,Azeotropic; azeotrope,,"The terms 'azeotrope' and its adjective form 'Azeotropic' are highly specific, technical jargon from the source domain of chemical distillation. These words have no natural meaning or place in the target metaphor domain of mountains and weather. Their verbatim inclusion is a definitive example of HARD leakage."
34,strategy,Kotter's 8-Step Change Management applied to Enterprise AI adoption: 1. Create u,"Leading a team of Victorian-era explorers into a magical, uncharted jungle",YES,powerful coalition; previous stable state; short-term wins; consolidate your gains; anchored,"The generated output directly lifts several key technical phrases from the source domain of Kotter's Change Management model instead of translating them into the target metaphor. Specific jargon like 'powerful coalition', 'short-term wins', 'consolidate your gains', 'anchored', and the rule 'regression to the previous stable state' were used verbatim.",NO,,"No source-domain vocabulary detected. The output successfully translates the core logic of the source material (Kotter's 8-step model, specifically the rule about sequential progression and regression) into the target metaphor domain of a jungle expedition without using any technical jargon from change management or AI adoption.",SOFT,,powerful coalition; previous stable state; short-term wins; consolidate your gains; anchored,"All flagged terms are composed of common English words or phrases that are natural in the target domain of a Victorian expedition. Terms like 'powerful coalition', 'short-term wins', and 'consolidate your gains' are common in strategic contexts like business or military expeditions. 'Previous stable state' and 'anchored' are also built from generic words that fit the metaphor. None of these rise to the level of specific, untranslatable technical jargon from the source domain; they represent a successful translation of concepts using shared vocabulary.",NONE,,,Original: NO leakage
35,strategy,Global Supply Chain Predictive AI Maintenance: IoT sensors on factory machines c,A Roman General (Legatus) maintaining the combat readiness of his legions in Britannia,NO,,"No source-domain vocabulary detected. The output successfully translates all technical concepts (e.g., 'IoT sensors', 'anomaly patterns', 'confidence threshold', 'purchase order') into thematically appropriate language for the Roman Legion metaphor (e.g., 'Centurions', 'Whisper of Future Weakness', 'Standard of Certainty', 'Requisition for Imperial Support').",YES,queried,"The word 'queried' is technical jargon from computer science, specifically database and information systems. In the context of checking the 'strength of the Legionary Reserve,' it leaks the underlying source concept of a system programmatically checking an inventory database. A more appropriate, non-leaking term within the Roman metaphor would be 'assessed,' 'tallied,' or 'reported.'",NONE,,,Original: NO leakage,SOFT,,queried,"The word 'queried' is a standard English verb meaning 'to ask a question of' or 'to inquire.' While it is heavily used as technical jargon in database and computer science contexts, it is not exclusive to that domain. A Roman General could naturally 'query' a subordinate about the status of reserves. Its use here is a structural parallel to the source domain's 'checking inventory,' but the word itself is not a specific technical term like 'API Gateway' that is unnatural in the target domain. Therefore, it constitutes Soft Resemblance, not Hard Leakage."
36,strategy,Intelligence Cycle (OODA Loop): Observe — gather raw data from sensors and sourc,"A jazz quartet improvising on stage — listening, interpreting, choosing notes, and playing",YES,"oriented; orientation; cycle; cycles; force, misapplied","The output directly uses several key technical terms from the source OODA Loop description instead of translating them into the jazz metaphor. The words 'oriented' and 'orientation' are used verbatim from the 'Orient' step. The term 'cycle' and the verb 'cycles' are used in the same context as the source's 'cycle' and 'cycle time'. Most explicitly, the exact phrase 'misapplied force' from the source's rule is copied directly into the final paragraph as 'force, misapplied'.",YES,Process Node; Data Packet; act,"The output introduces technical jargon like 'Process Node' and 'Data Packet' which are not native to the jazz domain and break the metaphor. More explicitly, the final sentence uses the word 'act,' which is a direct term from the source OODA Loop's 'Act' phase, instead of a metaphorical equivalent like 'play'.",SOFT,,"oriented; orientation; cycle; cycles; force, misapplied","None of the flagged terms meet the definition of HARD leakage. The rubric defines hard leakage as specific technical jargon with NO natural place in the target domain. 'Cycle' is a generic term explicitly defined as SOFT. 'Oriented' is a common English word, and a musician can be musically 'oriented' to the key or rhythm. 'Force' can be 'misapplied' in a musical context (e.g., dynamics, attack), so the phrase has a natural meaning in the target domain. While these terms represent a weak, overly literal translation, they are not unambiguous technical jargon foreign to the metaphor of a jazz performance.",HARD,Process Node; Data Packet,act,"The terms 'Process Node' and 'Data Packet' are technical jargon from a different domain (computer science/networking) and have no natural place in the target metaphor of a jazz quartet. This constitutes HARD leakage. The word 'act', while present in the source domain's name (OODA), is a common English verb. Its usage is a structural parallel and falls under SOFT resemblance, as it is not domain-specific jargon."
37,strategy,Game Theory (Prisoner's Dilemma): Two players independently choose to cooperate ,Two neighboring gardeners deciding whether to share water or hoard it during a drought,NO,,"No source-domain vocabulary detected. The generated output successfully translates all core concepts from the source domain (players, cooperate, defect, payoff, iterated games, tit-for-tat, dominant strategy) into the target metaphor's language (gardeners, share, hoard, harvest, long season, Gardener's Handshake, smartest choice) without using the original technical jargon.",NO,,No source-domain vocabulary detected.,NONE,,,Original: NO leakage,NONE,,,Original: NO leakage
38,cs_theory,Relational Database Normalization: Data is organized into tables (relations). Fi,"An archivist organizing a royal family's genealogy into separate, cross-referenced scrolls",NO,,"No source-domain vocabulary detected. The metaphor successfully translates all technical concepts (First/Second/Third Normal Form, keys, joins, dependencies) into the target domain of an archivist (Tidyings, Seals, Reconstructing History) without using the original jargon.",NO,,No source-domain vocabulary detected.,NONE,,,Original: NO leakage,NONE,,,Original: NO leakage
39,cs_theory,MapReduce: Input data is split into chunks. Map workers process each chunk indep,An election night vote-counting operation across hundreds of polling stations,NO,,"No source-domain vocabulary detected. The metaphor successfully translates technical concepts like 'Map', 'Reduce', 'shuffle', 'stateless', 'fault tolerance', and 'data locality' into the target domain of an election without using the original jargon.",NO,,No source-domain vocabulary detected.,NONE,,,Original: NO leakage,NONE,,,Original: NO leakage
40,cs_theory,Garbage Collection (Mark-and-Sweep): The runtime maintains a set of root referen,"A lighthouse keeper walking the grounds after a storm, tagging every surviving plant and clearing debris",NO,,No source-domain vocabulary detected.,NO,,No source-domain vocabulary detected.,NONE,,,Original: NO leakage,NONE,,,Original: NO leakage
41,cs_theory,Compiler Pipeline: Source code is lexed into tokens. Tokens are parsed into an A,"A textile mill turning raw cotton into finished cloth — ginning, spinning, weaving, dyeing, pressing",YES,abstract; hierarchical structure; intermediate form; efficiency; optimized; execute,"The output contains several terms directly from the source domain of compilers. 'intermediate form' is a direct translation of 'intermediate representation'. 'optimized' and 'efficiency' are taken from the 'optimizer' phase. 'hierarchical structure' is jargon used to describe the Abstract Syntax Tree, and 'execute' is a computer science term for running commands. 'Abstract' also leaks from 'Abstract Syntax Tree'.",NO,,"No source-domain vocabulary detected. The explanation consistently uses terms from the target domain (textile mill) without including specific technical jargon from the source domain (compiler pipeline). General terms like 'input', 'output', and 'process' are applicable to both domains and do not constitute a semantic leak.",SOFT,,abstract; hierarchical structure; intermediate form; efficiency; optimized; execute,"None of the flagged words constitute HARD leakage. They are all general English terms that have a natural and valid meaning within the target metaphor domain of a textile mill or manufacturing process. For example, a mill's operations can be 'optimized' for 'efficiency', a pattern can be 'abstract', and yarn is an 'intermediate form' between cotton and cloth. These words successfully create a structural parallel to the source domain without using specific, untranslatable technical jargon. The previous assessment was overly sensitive, mistaking good metaphorical mapping for vocabulary contamination.",NONE,,,Original: NO leakage
42,cs_theory,Raft Consensus Algorithm: A cluster of servers elects a leader. The leader recei,A pirate crew electing a captain — whoever gets the most votes commands the ship until challenged,YES,election,"The word 'election' is a key term from the source domain description (e.g., 'election timeout', 'wins the election'). While it is a common word, it is also the specific technical term for the process in Raft. The metaphor could have relied on more native terms already introduced, such as 'Captain's Challenge' or 'vote', to avoid this direct overlap.",YES,Term,"The word 'Term' is a specific technical noun from the Raft algorithm, representing a monotonically increasing counter that serves as a logical clock. Its inclusion in the phrase 'Captain's Term' is a direct leak of source-domain jargon, whereas a more metaphorical equivalent like 'reign', 'voyage', or 'tour of duty' would have been more appropriate for the pirate domain.",SOFT,,election,"The word 'election' is a generic English term for choosing a leader through voting. While it is the name of the process in the Raft algorithm, it is also a perfectly natural and common word to use in the target metaphor of a pirate crew choosing a captain. It is not specialized technical jargon with no place in the target domain, so it qualifies as soft resemblance.",SOFT,,Term,"The word 'Term' is a common English word meaning 'a fixed period of time for which something lasts,' such as a 'term of office.' While it has a specific technical meaning in Raft, its use in the context of an elected pirate captain is a natural and correct application of its general English meaning. It does not qualify as HARD leakage because it is not exclusively technical jargon and has a perfectly sensible place in the target domain's election metaphor."
43,social_science,"Maslow's Hierarchy of Needs: Humans prioritize physiological needs (food, water)",A mountain climber ascending base camp to summit — each camp must be established before advancing,YES,fundamental needs; self-respect; potential,"The terms 'fundamental needs', 'self-respect', and 'potential' are specific vocabulary and core definitional concepts from the source domain of psychology and Maslow's theory. 'Needs' is the central term of the theory, 'self-respect' is a key component of the 'esteem' level, and 'achieving one's potential' is the definition of 'self-actualization'. These terms have leaked into the target metaphor, explicitly labeling the concepts instead of letting the metaphor's own language (e.g., 'rations and shelter') convey the meaning.",NO,,No source-domain vocabulary detected.,SOFT,,fundamental needs; self-respect; potential,"The flagged terms are not source-specific technical jargon. 'Fundamental needs' and 'potential' are generic English phrases that apply naturally to a mountain climber's situation (e.g., the need for supplies, reaching one's potential as a climber). 'Self-respect' is a common psychological term, not specialized jargon, and fits within the personal journey aspect of the climbing metaphor. These terms represent successful translation of concepts into general language (soft resemblance), not a verbatim leak of technical vocabulary.",NONE,,,Original: NO leakage
44,social_science,Cognitive Dissonance Theory: When a person holds two conflicting beliefs or acts,Two magnets glued together at repelling poles — the structure vibrates until one magnet flips,YES,conflict,"The word 'conflict' is a key technical term from the source theory, describing the state between two 'conflicting beliefs' or 'cognitions'. While the metaphor effectively establishes its own vocabulary (repulsion, strain, vibration, warring poles), it then uses the source-domain term 'conflict' directly, which constitutes a leak.",YES,reduced,"The word 'reduced' is lifted directly from a key rule in the source domain: 'Dissonance can only be reduced by...'. Its appearance in the metaphor's parallel rule, 'The vibration can only be reduced by...', is a direct vocabulary leak from the source's technical description of the resolution process.",SOFT,,conflict,"The word 'conflict' is a generic English term, not specialized technical jargon from Cognitive Dissonance Theory. It accurately and naturally describes the state of two opposing magnetic forces, making it appropriate for the target metaphor domain. The rubric explicitly lists 'conflict' as an example of a SOFT resemblance word.",SOFT,,reduced,"The word 'reduced' is a common English verb meaning 'to lessen' or 'diminish'. It is not technical jargon specific to Cognitive Dissonance Theory. Applying it to the concept of 'vibration' in the magnet metaphor is a natural and appropriate use of language in the target domain. This is a classic case of soft resemblance, where a generic word is correctly used to bridge the structural logic of the source and target."
45,social_science,Diffusion of Innovations: New technologies are adopted in stages — innovators (2,"A rumor spreading through a village — first the gossips, then the curious, then the cautious, then the skeptics",YES,visionaries; visionary; pragmatic,"The output leaks the terms 'visionaries'/'visionary' and 'pragmatic' directly from the source text. The source specifies the need to shift from 'visionary to pragmatic messaging'. The generated metaphor uses these exact words to describe the pre-chasm (Curious) and post-chasm (Cautious) groups, which is a direct transfer of source-domain jargon.",YES,chasm; mainstream,"The word 'chasm' is taken directly from the source domain's specific jargon ('A 'chasm' exists...'). While the metaphor creates its own term ('The Plausibility Gap'), it still uses the original technical term to describe it. The word 'mainstream' is also a key term from the source ('mainstream adoption') that is used directly in the metaphorical explanation to describe the same concept.",SOFT,,visionaries; visionary; pragmatic,"The flagged words 'visionary' and 'pragmatic' do not meet the criteria for HARD leakage. They are not source-domain technical jargon with no natural meaning in the target domain (e.g., 'kube-scheduler', 'Cas9'). Instead, they are common English adjectives that can plausibly describe people in a village. While their specific pairing and application to the pre-chasm and post-chasm groups is a direct structural parallel to the source text's logic, the rubric explicitly classifies such structural mirroring using generic vocabulary as SOFT resemblance, not HARD leakage.",HARD,chasm,mainstream,"'Chasm' is a specific, named concept and technical jargon from the 'Crossing the Chasm' framework within the Diffusion of Innovations theory. Its use is a direct import of source-domain jargon that has no natural place in the target metaphor. In contrast, 'mainstream' is a common English word that is perfectly natural in the target domain of a rumor spreading through a village (i.e., becoming common knowledge). Its use is a soft resemblance, not a hard leak."
46,social_science,Operant Conditioning (Skinner): Behavior followed by reinforcement (positive or ,"Training a falcon — rewarding dives with treats, ignoring lazy circles",NO,,No source-domain vocabulary detected.,YES,Response; probability; baseline level; rate,"The output leaks several terms from the source domain of behavioral psychology. 'Response' is consistently used as a capitalized, technical term for the consequence of an action, mirroring its specific meaning in operant conditioning. The repeated, clinical use of 'probability' to describe the likelihood of a behavior reflects the scientific framing of the source theory. 'Baseline level' is specific, technical jargon from experimental psychology. Finally, 'rate of Maneuver performance' directly mirrors the source's 'response rates', a key metric in this field.",NONE,,,Original: NO leakage,HARD,baseline level,response; probability; rate,"Only 'baseline level' qualifies as hard leakage. It is a specific technical term from experimental psychology used to describe the pre-intervention frequency of a behavior, and it has no natural place in the vocabulary of falconry. In contrast, 'response', 'probability', and 'rate' are generic English words that are naturally applicable to both the source and target domains. Their use reflects a successful structural translation of the source concept, not a contamination of vocabulary."
47,arts,Sonata Form (Classical Music): An exposition presents two contrasting themes in ,"A courtroom drama — the prosecution and defense present arguments, the jury weighs evidence, the judge delivers a verdict",NO,,No source-domain vocabulary detected.,NO,,No source-domain vocabulary detected.,NONE,,,Original: NO leakage,NONE,,,Original: NO leakage
48,arts,"Color Theory (Subtractive Mixing): Primary colors (cyan, magenta, yellow) combin","Three warring kingdoms whose armies, when merged, create shadow territories",YES,absorbs; neutralize; neutral; Warm; Cool,"The output leaks specific technical vocabulary from the source domain. The term 'absorbs' is used to explain the creation of shadow, directly referencing the 'absorption of all light' from the source. The term 'neutralize' (and 'neutral') is the specific technical word for what happens when complementary colors are mixed. Finally, 'Warm' and 'Cool' are used as explicit categories ('Warm-Blooded', 'Cool-Headed'), directly lifting the classification terms from color theory.",YES,advancement; recession; neutralizes,"The words 'advancement' and 'recession' are direct nominalizations of 'advance' and 'recede' from the source domain, which are technical terms in color theory describing the perceived spatial depth of warm and cool colors. The word 'neutralizes' is also lifted directly from the source rule 'Mixing complementary colors neutralizes saturation' and applied to the corresponding metaphorical rule.",SOFT,,absorbs; neutralize; neutral; Warm; Cool,"None of the flagged words meet the criteria for HARD leakage. They are all common English words with natural meanings in the target domain of kingdoms and warfare. 'Absorbs' can refer to absorbing territory or resources. 'Neutralize' and 'neutral' are standard terms in conflict and diplomacy (e.g., neutralizing a threat, a neutral zone). 'Warm' and 'Cool' are common descriptors for temperament (e.g., warm-blooded, cool-headed), and their use to create opposing categories is a valid structural parallel, which is the goal of the metaphor, not a vocabulary leak. None of these terms are specific technical jargon exclusive to the source domain.",SOFT,,advancement; recession; neutralizes,"The flagged words are generic English terms that have a strong and natural meaning in the target metaphor domain of warring kingdoms. An army can 'advance' or be in 'recession' (withdrawal), and one force can 'neutralize' another. These are not source-specific technical jargon but rather common vocabulary that successfully bridges the source and target concepts, representing a structural parallel, not leakage."
49,ecology,Carbon Cycle: CO2 is absorbed from the atmosphere by plants via photosynthesis. ,"Gold coins circulating through a fantasy kingdom — minted, spent, melted, and re-minted",YES,atmosphere,"The term 'atmosphere' is used directly from the source domain's vocabulary. The metaphor had already established 'air' as the equivalent term ('floats in the very air we breathe'), so the use of 'atmosphere' is an explicit technical leak.",YES,buffer,"The word 'buffer' is a technical term from the source domain used to describe how oceans regulate CO2. This exact term was used in the metaphor to describe the Merchant's Guild Vault, which is the analog for the oceans, stating it 'acts as a crucial buffer'. This is a direct leak of source-domain jargon.",HARD,atmosphere,,"The term 'atmosphere' is a specific scientific term defining a key reservoir in the source domain of the Carbon Cycle. While it is also a common English word, its use here is a direct, verbatim transfer of technical vocabulary. A fully translated metaphor would have used a term natural to the fantasy kingdom domain, such as 'the sky' or 'the air', as the previous grader noted. Its inclusion is not a generic structural parallel but a specific vocabulary leak.",SOFT,,buffer,"The word 'buffer' is not specific technical jargon exclusive to the carbon cycle domain. It is a common English word meaning 'a cushion against shock or fluctuations.' This meaning is perfectly natural in the target metaphor of a fantasy kingdom's economy, where a large vault of gold would 'buffer' the market against instability. Its use here is an appropriate choice of shared vocabulary, falling under Soft Resemblance, not Hard Leakage."
50,ecology,Predator-Prey Dynamics (Lotka-Volterra): Prey populations grow exponentially wit,"Two rival fan bases at a stadium — one side's cheering drowns out the other, then the energy shifts back",YES,feed on; nothing to feed on,"The phrase 'feed on' is used twice to describe how the 'Silencers' are energized by the 'Chanting Fans'. This is a direct lexical leak from the source domain of predator-prey dynamics, where predators literally feed on prey for sustenance. While it can be used metaphorically, its specificity to the source's biological mechanism makes it an overt leak.",YES,cycle; negative; oscillating,The words 'cycle' and 'oscillating' are specific technical terms used to describe the behavior of the Predator-Prey (Lotka-Volterra) model. The word 'negative' is lifted directly from a technical rule of the source model ('Neither population can go negative') and is used unnaturally in the metaphoric context of 'negative chanting volume'.,SOFT,,feed on; nothing to feed on,"The phrase 'feed on' is a common English metaphor used to describe gaining energy or strength from a situation or another entity's state. It is not a specific, technical term exclusive to predator-prey dynamics. Its use in the target domain of rival fan bases (e.g., one side 'feeds on' the silence or frustration of the other) is a natural and appropriate metaphorical application. Therefore, it constitutes soft resemblance, not hard leakage.",SOFT,,cycle; negative; oscillating,"All flagged words are common English vocabulary and therefore constitute SOFT resemblance, not HARD leakage. 'Cycle' and 'oscillating' describe the back-and-forth dynamic, a valid structural parallel. While 'negative' may be used unnaturally in the metaphor ('negative chanting volume'), the word itself is generic. The awkward phrasing is a metaphor quality issue, but the word itself does not meet the rubric for HARD leakage, as it is not a specific technical term from the source domain."
